text,label
اردوغان الي الاتحاد الاوروبي اما دفع مساعدات او فتح الابواب امام اللاجءين السوريين اوروبا ان تستحي فافعل شءت,0
سافل الزينين,1
نهاءيات كاس ولي العهد,0
كلها الحكم اجنبي البطل الهلال يطلع,0
سافل يقول الهلال يفوز الا بالحكم,1
المحلي,0
روحه بلا رجعه,0
البطل الي رمي الميكروفون متاع الجزيره,0
قيل للاديب الراحل محمد الماغوط,0
قلت دريد لحام انه انسان سافل,1
فقال,0
احقر شخصيه مافيه,1
وجميع انتقتهم قطر علي الشكل والشاكله,0
وين القانون عنه,0
ڪان الجهه الينتمي الها لازم يتعاقب,0
بڪلامه وافعاله الوقحه سافل,1
انا قلت سافل فقط,1
نفسي امسكهم والعب بيهم بقا بت,0
ايه دول سافل,1
الفلوس بنت الجزمه,1
بوسه يابت,1
علي فكره انت سافل وقليل الادب,1
ليه,0
عشان بتقولي يابت,0
رجل هالحقن الطاءفي كرمال وزير بالزايد,0
انا سكان بيروت ولم اسمع طلقه واحده انت كذاب وحقير ويجب الادعاء بتهمه الكذب والتحريض,1
منافق كذاب سافل,1
جنوبي وتتحدث الانفصال وتتغني الامارات حقك,0
شمالي وتدعم الانفصال وتتغني يعملون علي تمزيق بلدك انت بكل امانه نبيل الصوفي,0
سافل نظر اليمنيين ورخيص نظر يساندهم,1
اذا مدعو الثقافه والوعي محور الممانعه علي شاكله السفيه فكيف بالعوام,1
جديد بهيم غسل تمك النجس بالماء مرات احداهن بالتراب يتطهر ذكرك للرءيس سعد الحريري,1
تعلم ان المجرم داءما يعود الي مسرح جريمته,0
تفقه السفله فساد للدين,1
وكم متفقه سافل افسد علي الناس دينهم بدعوي تجديد الخطاب الديني والبعد التعصب الاعمي خالد الجندي مظهر شاهين علي جمعه عمرو خالد نماذج صارخه لسفله اباحوا قتل الابرياء وانتهاك اعراضهن لطاغوت استعبدهم لشهواته,1
جامع بيان العلم وفضله,0
هاد الصباح وانا الكليه نقز لودني حوار سافل بسفاله ونذاله اصحابه تلاته دالناس سول الاخر قالو نتا ماخدامش فالعشيه قالو وماكرهتش هاد الاضراب يستامر حتي لشهر مزيانه يبقي حتي لشهر واحدبلا شك عرفتوهم شكون,0
العروبه علمتنا ان نكون احرار,0
ملعون الوالدين وين هالفلوس الي يعطيه ويوقف معه حملته الانتخابيه القذره,1
وليش مستذبح للوصول للمجلس,0
اطالب بفتح باب التسطير والطراقات لكل كويتي لوندون,0
اذا شاف موضي علف الخالدي,0
العالم عملاء لايران حتي الامريكان يبيعون السلاح للبحرين لتقمع وتقتل شعبها وتغطي جراءمهم سافل,1
تزال امريكا تعتبر غزوها للعراق عملا بطوليا تعتبر غزو روسيا لاوكرانيا عدوانا سافرا,0
الكيل بمكيالين,0
مجتمع دولي سافل,1
الوو منبطحين انتم تشوفون وتقرون والا عميان عمي بصر وبصيره,1
يهمني اي شعب يهمني اذا مءدلج او سواء مغيب الواقع او الحقيقه رح اعدس علي اي سافل خليجي او عربي او مستعرب او غربي,1
مثلث السعوديين,0
السعوديه العظمي فلسطين قضيتي,0
علوشي,0
تكون طاءفي مقرف تابع لحزب ديني تابع لدوله دينيه تحكي الطاءفبه,1
وقت تكون معقد المسيحي تعيش بيناتهن وتدحش حالك,0
وقت تكون جبان وبسين ومخبي لان مرعوب يقرطوك شوطه مطرح انت تحكي بالمره,1
جبان,1
تافه,1
شعب مثير للشفقه,0
اعلام سافل صله بالموضوعيه,1
مهاجمه حزب القوات دليل او اثبات او منطق,0
اكل خرا باكل خرا,1
بيقول جبران كاذب بيقول قاتل اهله دكتور فهو,1
سافل فاسد مفسد,1
اما للطفله لين كانت عم تاكل وتشرب وتنام عمرا سنين بتفوتا عالحمام بتحمما بتغيرلا تيابا شي غامض او بدو يتلفلف بالقضيه البنت تعرضت لاعتداءات متكرره بجسدا الضعيف واذا المجرم نال عقابو رح يكرر فعلتو غيرا,1
ماحصلت مقطع يصلح ارد اكثر,0
سياسه,0
اهانه نجاح اليوميه,1
سافل تفرح بقتل شعبك بيهم خير ذيج ايران,1
معلش حضرتك انت شوفتش بتوع,0
صفيق علشان بيقولها بنسوار مدام,1
صفه صفات تميم,0
صفيق تفتين بصوت مروه عبد المنعم فيلم عمر وسلمي,1
لاتعليق,0
انت بتتكلم علي اساس انك ايه يعني,1
صفيق,1
انت بتتكلم كدا علي اساس انك ايه يعني,1
اجعلي نفسك قويه حتي يستطيع احد الوصول اليك لارجل صفيق,1
مريضينيو,0
بتجبين اغلي تشكيله,0
اخر عجاءب الدنيا,0
يمكن صفيق,1
تشوف ختفوه يال صفيق,1
وعلي فكره بقي,0
يتقطع لسان اي صفيق يقول للشعب المصري,1
بلاش هري بن اللذينه ده انت بتهري يوم شفناك,1
ومفيش كلمه قولتها التزمت بيها,0
اول مش حترشح,0
لحد خطوطك الحمراء ابو خطوط,0
مفيش جهاز مركزي يحاسب السيسي علي تكاليف الليله دي والناس مصر بقت بتبات عشاء,0
اعدليلي الدواء والنبي دكتوره ده علي اساس ان اللي رءيس الجمهوريه صفيق,1
شفيق لالرءيس مش هتكمل فتره حكمك والدستور ده هيتلغي وبعدين انت عارف يعني ايه حلايب وشلاتين صفيق,1
الرعديد عزمي انطوان بشارون ينظر للاخوان ويقودهم علي التواصل الاجتماعي اصلا لايءمن بالاسلام بمحمد العربي دوله فلسطين صفيق,1
احلي حاجه تلاقي واحده زهقانه منك وبتحاول تخلي صورتك وحشه بتفرح اه بفرح يعني مخليها مضايقه هطق مني دا وهتفرقع مش محترم,0
عندك ذره كرامه ماتوقف هالوقفه الاشاره وتحجز حريه الناس بالالتفاف لليمين جاهل صفيق,1
المذيع اجهزه الضفه تعتقل المجاهدين الضفه وكان المصالحه تكن,0
نقابه الصحفيين مقلوبه بسبب بلطجيه صفيق تضامنوا ضد الفلول العسكري,1
انقذوا مكه البرماويه,0
المغردين يتجرءن علي الملك عبدالعزيز بعده رحمه الله,0
بان قرراتهم كانت خطا وانه حضره المغرد يعلم لمن يحمل المسءليه,0
اخي كنت,0
دريت تليت,0
قيادتنا اذا اصدرت قرار فهي تعلم ابعاده وعندها معالجته بالطريقه الاحترافيه المناسبه,0
منوش انا حاقد عليكي جدا,1
بحكيلك بجد انا حاقد عليكي كتير,1
طيب انا مالي اسالك ليش مسلا مش عبالي اعرفاستمر ايذاء نفسك,0
اذهب صفيق يمضي اليوم الا وان اقطعن راسك واخلع جزعك وازبطك ايه المنفشخ اخلاقيا ودستوريا اخذتك الجحيم,1
طبيعه الوضع ليبيا الان رفض نظيف,0
استقبال مشرف لكل صفيق,1
فعلا اسم الفريق صفيق مناسب جدا عاشت ابداعات البرادعي,1
شفيق شر البليه فاسد ييخرب يدمر قاتل موقعه الجمل,1
حتي اسمه منيل بستين نيله صفيق,1
مملكتنا الغاليه ولربما مجرد ناعق,1
صفيق احد البلدان المجاوره,1
تجمع الناخبين وصول المرشح الرءاسي احمد شفيق صفيق فلول,1
عغوا عزيزتي قولي صفيق تقولي شفيق,1
ويا شفيق فاسد الشعب هيفضل صامد,1
قمه الهبل والاستعباط وتصل الي حد قله الادب انك توجه كلام لبني جلدتك بلغه اخري لغتك ولغتهم,1
اه والله ياحمد خرجنا وقارنا وبقينا نتلفظ بالفاظ مجرد انها تدور بفكرنا تخجلنا,0
هوه شكله المغير صاحب فكره حمله تجرد اللي بتهاجم تمرد وكان فتره ادي مثال حي لتبنيه للفكره وايمانه العميق بمبداها صفيق مصر مرسي,1
صاحبه الحاجه تسمعني وانا بقول لبنتها ياختي فكيها تبصلي باستغراب وتقولي انتي جايه منين بكلامك دا,1
يمي قال زعتر غليه ظريف زعتر بن شداد لالا خلووه علي صفيق,1
يالله خير يرحمنا اليوم يخسف بكل مليقا سخيف قاعد يعطي فاضي تويتر صفيق,1
ليه حاسس ان مبارك بيتكلم المصيبه المره دء انه حيكون طرطور العسكري مش طرطور سوزي جيمي صفيق شفيق,1
هوه شفشق كاسر عينهم بحاجه ولاايه مالهم لازقين كده ليه صفيق,1
المشكله ان الراجل اللي اسمه ماجد ده بيتكلم بنفس مياعه صفيق,1
حرام عليكم نفسي غمت علي,0
صفيق شاف مبارك مقتول مكنش فكر لثانيه انه يرشح نفسه للرءاسه خلتك سلميه فشختنا,1
والواد التاني بيحاول مش عارف,0
اما حد بيعملي فولو بحس اني قليل زوق معملتش الباك وبعمل الباك المنطلق بالرغم انه نفسه الفولور اللي عملي انفولو وانا نايم صفيق,1
واخلي بترول الكويت لمن,0
للشيوخ الحراميه يخسون,1
انا حسيت انها شتيمه,0
ده تهزيء هه هه هه,1
هرمنا ظرافه امك,1
ولاد افهموا انو حتي اللي بتقلدهم انت وياه وياها عندهم اساسات وعادات بطلعوش عنها,0
احيانا الصمت حكمه والصديق الحقيقي يقف معك يفرح لفرحك ولاكن تفعل عندما يكون صديقك اه ابس حسبتك صديق طلعت صفيق,1
وضع صفيق جدا,1
الي يقول الله يرحم صدام قريتو الدراسه الي تقول ٪ شعبكم مريض نفسيا سولف باجر صفيق يعني يحطون بقر مكانك ينتجون اكثر منك,1
سيماهم اسماءهم,0
غاوي دع الحرب لاهلها فلست وليست منك,1
ودعك غزه يجري ذبح لاطفالها منك ولست منهم,0
غاوي تافه,1
ايه موضوع الرمال المصريه ده مين اللي بيكتبله الكلام ده محمود سالم بتاع المغامرين الخمسه شفيق صفيق فريق,1
جرعه غضب زاءده النهارده بسبب مءتمر الفريق صفيق النهاردهانا مش فاهم البقر دول هيفضلوا يشحنوا بطاريات الغضب لحد امتي,1
انها زله لسان كلمه البرادعي الفريق صفيقمالهاش حل لخصت يادكتور والنعمه,1
صفيق فشيق شفيق,1
ايه كميه المءتمرات الصحفيه اللي بيعمله صفيق دي وياريته بيقول حاجه تتفهم نستفيد الا كلامه لازم تستتج ده عرفت شفيق جلاش,1
شفيق وعد مصري بتحقيق احلامه علي حدي بيوعد بانه يجوز احمد وهبه صفيق شفيق,1
اللي صاغ عنوان الخبر صفيق,1
فرنسا قايمه وقاعده وحامد بو يابس يتكلم الحساوي واللغيصم صج اصحاب العقول براحه,0
المرشح الاخر اسمه مرسي العياط ايوه العياط صفيق ابهي صوره مءدب فشخ,1
متفذلك,0
كملو,0
الادمنز اللي علي صفحه الفيس بوك ابو اسماعيل جاب جنان رسمي سامحوني حريه التعبير مكفوله لسانه طويل صفيق,1
بوابل الكلمات الفاقعه وحروف الجر نعرفها جميعا يخرج الاشاره الحمراء ويلتفت الي وكاني المخطا ليبيا صفيق,1
ممكن اعرف انتي سنيه شيعيه شوفوا العقليات,1
يقول اني اشوف يعني كفيف ابله لايشعر الواقع علاقه الدولار اسعار البضاءع كذاب اكيد كذاب مطي لانه لايجيد الكذب صفيق قبيح,1
يخرج علينا الفاشل حسن ويقول ان سبب تواجد مليشياته الارهابيه الطاءفيه اليمن للدفاع مرقد او مقام السيد الحوثي صفيق,1
يعني مش فاهم انت غبي كذاب قرات خطاب حماس اللي قالوا انه معركتهم مش اليهود المسيحيين انما الصهيونيه اللي بدها تحتل الارض تهجر السكان تعمل دوله قوميه واحده علي ارض فلسطين التاريخيه صفيق اهبل,1
فعلا كلامك مزبوط كانوا صادقين المفروض يكونوا بغزه بالزبط زي مجلس الحرب بعمل اجتماعاته غلاف غزه انت كمان مكتبك غزه صح صفيق اهبل,1
تستخدم اطلاقا الكلمه,0
قاموس الشتاءم الدارج لكنها تعني,0
وتعني الوقح والغليظ يتكلم داءما,1
بلا اي حياء حديثه او تصرفاته,0
او افعاله,0
تعتبر الاكثر شيوعا السب والقذف وتعني الدنيء وعديم والاخلاق كرامه عنده,1
رذيل,1
تستخدم الكلمه لكنها تعني الخسيس يستحق الاحتقار دوما,1
تعني الوقح والغليظ يتكلم داءما بلا اي حياء حديثه او تصرفاته او افعاله,1
تقصد انك مغرم بجلادك تميم وابوه حمد ارسل طاءرات لتدمير بلدك,0
صدقت فانك عميل خسيس لكنك تتحدث نفسك باسهاب وهذا جيد صفيق,1
تعليقا علي خطاب بايدن غلق الحدود المكسيكيه تكساس وهي تعلم بان المايك يعمل,0
سيبدا حر لعينه اخري احمق,1
فنجان قهوه,0
برايكم الطريق سالك امام هدنه طويله بمراحل,0
ام ان العد سيقوم بعمل احمق كالعاده,1
ايها الاحمق,1
السعوديه فتحت مصنع للخمور,0
ايها الاحمق ركز,1
ركز,0
ام ان حقدك وبغضك جعلاك اعمي البصر البصيره,1
فعلا احمق,1
واضح انك مو سعودي تدري وين ربي حاطك محد للشام يروحون الرجال فقط ديره مجموعه ويشتغل يكد بعرق جبينه ويرجع لنجد محمل بخيرات كده وتعبه رحنا عشان نقول عطونا بدون مقابل وليش عندكم عندنا,0
احمق,1
ممتع اني تعطي اي شخص سواء صديقا عدوا انسانا او شيطان عاقلا احمق,1
نشوه الانتصار,0
اقدمها علي طبق,0
ليعيش نشوه الانتصار المزيف,0
تمر الايام وربما شهو وسنين,0
لارجع وحدي وانقض كالتفاتت سيدنا خالد بن الوليد,0
يستسلم رغم الهزيمه,0
یعنی,0
اشريف اصبح يهذي الزهايمر يسيطر لعنه الله احمق هيدا طموحك فشرت انت عندك حقد للمقاومه لانها افشلت مشروعك الفتنوي ان طرابلس وبيروت بكل لبنان احمق ورح تموت ورح تبقي المقاومه رايتها ترفرف براقه,1
ايران احمق لعبت باسمها فقط وباسم شعبها بكل طواءفه ترفع شعارا مذهبيا ولم تنادي علي حسين وغيرها شعارات المطايا المذهبيه لان الشعارات تركتها للاذناب وللبغال اتمني تكون وصلت الرساله العراق,1
هيدا المعتوه فاشل وجاي يتفلسف علينا روح عيش مابدك صدقني والله حدا جابرك حدا شايفك,1
حلل دويري,0
وماذا تنتظر الخنزير هشام البيلي زميل رسلان حسن عبد الستير وكل عرص ديوث بالفصحي يعلن نهايه الفيديو انه يستطيع حمايه زوجته فيحميها السيسي ضباطه,1
تريده ان يتخيل ان رجال يعملون علي صيانه اعراض نساء المسلمين ويفضلون الموت علي لحظه ذل او مهانه,0
سيسي بلااش عرص ماينفعناش,1
الست مصممه وتصميمها ينفذ,0
العب بعيد الدين عرص,1
هيقولوا عرص هيقولوا خاين هيقولوا صهيوني برضو اوعا تفتح معبر رفح نتنياهو بيه يقوم جمب مراتك ويستحمي وينزل شقتك مفهوم سيسي افندي,1
اتينا بصيد سمين تيس السعادنه الكعام يفضح شخشوخ عرص مصر محمود الجندي ويتغابي هياط السعادنه ملك الاستخراء قطري يفضح الهياط,1
اكبر انجاز بحياتي انوا وصلت لمرحله جوزي يقول انوا التويت ناقصوا كلمه عرصات او عرص,1
تعبنا استاذ مرسيل وصلنا,0
اقتراح ترحيل الفلسطينيين الي النقب اقتراح مصري اقتراح للمناوره السياسيه حل مءقت فكره ترامب المسماه بصفقه القرن وافق عليها بن زايد وتبع البحرين والسيسي شء اتضح اسراءيل تطالب بالترحيل الي سيناء يطالب بترحيلهم الي النقب ويظهر كالبطل,0
انت لسه عرص ليك صوت القفي,1
سنين الذل اليومي هلق بلش القلق,0
انتم ادني منزله ان نناظركم,1
اليهود,0
عرص,1
شد حيلك بلغت مديونيه مصر عهدك مليار بقي قليل ووصلت مليار,0
شد الحيل عرص تسريبات السيسي,1
الرجل تجسيد حرفي لكلمه عرص,1
ويقولون الفلوس وسخ دنيا,1
ولله الوصخ الا انت وربعك,1
هيدا الباءع انا بكرا رايحه اشتري عندو وسخ,1
وسخ,1
ازعر وسخ مجوي حقير زباله ابن شارع قليل التربيه مرت عوني,1
صرصور نمله اديش انت رخيص,1
رساله للبيك وجماعتو كبار القوم بالطاءفه الكريمه لانو شبعنا وسخ وفساد وقله ادب ممكن نصير نتعامل زعران فيديو كامل,1
هوي ليقا مين ياخدو انت مين ياخدك وسخ حشاش,1
بالحريقه انت وكضيتك,1
السعوديه اعادت بناء بلدك وبلدان اخري اكثر مره وسخ,1
ناطق باسم الصهاينه,0
فشرت وطويله عرقبتك مقرف,1
لبنان حر,0
وعدوه الكيان الغاصب الصهيوني,0
ول مش عاجبو يروح لعندن ناس سبءوك وقفوا عالسياج دخلوهم الا ببكاء ونواح تعلم التجارب,0
كنا بدنا نهرب بنزين خلونا,0
اضطرينا نهرب مازوت,0
يجوز ان نقول المال وسخ الدنيا,1
رساله مني الكرد,0
صوتنا وصل التعويل علي الاستمراريه لانه احنا منتعامل كيان وسخ,1
الحريه لمني الكرد,0
هيدا الحمار ايا زريبه فلتان,1
حقود,1
فاش شفت مارسيلو جناح برازيلي يبكي صافرات الاستهجان جماهير مدريديه عرفت ان النادي اوسخ وجمهوره بصفه عامه لاعب شاهد علي الالقاب اللتي سرقتها بمساعده الحكام وتحاد الاوروربي مارسيلو اول والاخير تعرض لهذه امور حتي رونالدو ينقدهم فكل مره,1
فكرت الناس بان تيران وصنافير مصريه,0
وعملت اكبر دعايه خالد علي والتف حوله حتي خصومه,0
وبينت للكل ايه انت وسخ,1
شكرا لغباءك,1
فعلا رءيس بلح,1
نفذت الذخيره,0
وعينك تشوف الا عساكر مرعوبين متدسين عربات مفحطه قصاد اعزل جاري عليهم,0
كدا ياداب ممكن نفهم ليه بقتلو الثوار,0
بتحس قابضين عا راس الشعب تا يفوتوا ال كورونا عا لبنان,0
لبنان ينتفض وسخ,1
حتي عارف انك وسخ انضف ال بيعاملك,1
بنضافه يمكن تنضف,0
الجميل سليمان السنيوره ميقاتي سلام رءساء السفارات يتطاولون علي لبنان الرسمي,0
وجهوا رساله سريه للقمه العربيه لاحراج لبنان,0
تفوو وسخ,1
ويقولون يبغونه يصير افضل عشره دوريات العالم,0
اقسم بالله الواحد فيهم مايستاهل يقود عشره الضان,0
فكر وسخ لاذمه ولاضمير,1
شي غباء ومفبرك طيب شو قضيه حساب تاهيل السجون انو اصحابك الصغر راغب وخضر علامه ماهر ابو الخدود الخطيب او سال شوفير راغب الممكن يخبرك مش حكينا انك فاسد بتعمل انو اذار متامرين انت متامر عالبلد لمصلحه جيبتك وسخ,1
عطريق الشام عم يكب لوز السياره قنينه بيرهكنت ناطر يكب لولاد وسخ,1
ناس بتكون حابب تسالهم انت وسخ كده بجد بالفطره يعني,1
دي وساخه اجل الموهبه انت نميتها,1
يعني ممكن تحكلنا ازاي الموضوع اتطور معاك,0
السوشيال ميديا عندنا اصبحت تتنفس علي الا اتطلقت والا اتحرقت والا سرق والا قتل وغسيل وسخ اسود منشور علي الفضاءيات وبتزعلوا عربي يقول عليكموفيكم البدع اقسم بالله شفت بلد زي مصر فرحانه بنشر قذارتها اتلموا مش علشان لايك وشير تبهدل البلد معك انشروا الابجابيات,1
مرتضي اللي عمل هيصه وقال هنسحب الدوري بسبب جون ماتش الاهلي اللي مالوش دخل بيه علشان يداري وفاه طفل حمام السباحه اليوم وسخ,1
الغريب السوبرماركات عم تفضي الرفوف تا تبيع عالغالي,0
الاغرب الحكومه المستقله,0
بعدها بتحكي بانجازات,0
راوول بيقلك سكرنا بالشمع الاحمر,0
اعرفنا اذا سبب التسكير خلافات سياسيه,0
انتو بلا ضمير بتخافوا الله,0
بتبيعوا وبتاجروا باسم الاديان,0
الكرنتينا تتسع,0
انتهي يسمي قداس راحه الشهداء وهلق بكون بلش يارء ويضحك جنبلاط علي الشهداء وسخ,1
ال طاير متل نبيه طار بالهليكوبتر,0
ليحمي رياض يصير الف وسخ,1
تطلع الفجر الصبح,0
بغض النظر اي كلام تقوله سواء محترم او مهزا,0
انت وسخ نظري,1
تحتاج الحياه اكثر,0
معلومه عالماشي,0
المشكله غلق,0
الميادين انت نازل,0
تحتفل سعادتك,0
ثوره يعني تضحيات,0
الكل لاجل الكل,0
يعني تنتحرش عشان,0
وسخ بيحبش,1
النظافه,0
الف شكر لكل دوله عم تفضح حزب الارهاب وتكشفه علي حقيقته,1
حزب خصه بكل شي وسخ,1
حزب يدعي المقاومه,0
عيب الشوم علي هيك منافقين,1
حزب الله الارهابي تاجر مخدرات,0
ونقطه عالسطر,0
شو حلو تمسك بالصدفه ممسك وسخ حدا وسخ بضل ينظر انو منزل السما,1
اللهم شماته,0
هاللو اصدقاء,0
الله يشفيك وصراحه الصلا بقا تنفع معك بدك عجيبه حقود سخيف ذمي وسخ تافه سفيه وغصب عنك باقيين,1
انا قليل بغرد سياسه الاوقات بيستفزني تغريده بعلق عليها,0
يعني ردو التغريدي بدون طاءفيه تمس الاديان او دور العباده,0
باختصار نقبر رد بخبرتك سياسه او بعقلك بهيم,1
تنزل صور رموز دينيه وسخ وتعلق,1
عم تفهم بهيم,1
اذا زعل يخبرني,0
مناوي الفلنقاي يدعو لمصالحه الكيزانكيف يعقل ان يعيش الارهابين الاشعلو الحرب ان نتصالح معهم جلدك مبرح ياياسر عرمان اصلا جماعه الموز ديل مامنهم فاءده مصالحهم الخاصه وبياع الذمم مناوي الي مزبله التاريخ,1
كنس جماعه الموز,0
بتكلم بت خالتي شويه راجلها كوز قلت ليها كوزك كيفقالت كوزي شريف,1
مافي كوز شريف كلهم وسخين,1
جماعه متفهموش القرار غلط,0
القرار قصده انك تدخلوا الجنه بلا تعب,0
سيبوا الدنيا لاصحابها تراها وسخ,1
ضد قرار مجلس الوزراء حمايه المستهلك,0
اي شعب عاوز,0
رءيس علي كيفه اللي يحكم البلد,0
يبقي شعب وسخ يستحق,1
ديكتاتور وسخ يحكمه وبالكرباج,1
العسكر يليق بيه,0
حدا طلب منك شي شرشوح القوات اصلا مالك حلو مال حرام السرقه ودم المجازر والاغتيالات تعودت تاكول مال الحرام,1
ناقص انت وسخ,1
رسمالك هيدي الصوره,0
حتي المكيفات او الثلاجات او فرن البيت,0
انتوا تحتاجولها,0
عشان الكهربا يقطعوها,0
لانها وسخ دنيا,1
الرجل مطلع التلفزيون باب المحل وقاعد نفسه نتغلب ساعه مامدحت شلبي قال السيسي يهنء الفريق قفل التلفزيون وشتم الناس وقالهم خلاص فضناها وسخ,1
ويلي التويتر شو بدو تنظيف وتمسيح وشطف وساخه سمير جعجع وميليشياتوا العمي وسخ الدني وسخ فساد عماله اجرام غدر نزاله والاهم مش مقبول شو ذكي الغبي اسقاطه اللعين واجب وطني مقدس,1
صوتنا تيار,0
وسخ ميليشيا,1
المصاري مش وسخ الدنيا,0
البشر هني وسخ الدنيا,1
شفت المصاري الا خير والله العظيم,0
امريكا مخادعه,0
ﻻتخدم الا نفسها واسراءيل,0
تقتل حتي شعبها وتتبني عمليه تفجير دول الغرب بايادي الارهاب السعودي لترهب العالم وتسرق مبالغ مهوله مايسمي دعم مكافحه الارهاب ابتزاز وسخ ارواح الناس العالم الغربي والعربي والاسﻻمي,1
قلو نبيه بري بصلب المعركه بتموز اقرب حرب عم يفاوض يحمي المقاومه ويقاتل,0
معلمو عم يوزع علب حمص بمصاري عم يحسب يقطف الرءاسه عحساب انو وقف جنب المقاومه هيدا واجبو باعها غاليه لانو وسخ,1
صرح وزير خارجيتنا رياض المالكي علي قمه وزراء الخارجيه العرب بان العرب كانوا علي قلب رجل,0
فعلق الصديق عبد الرحمن التميمي,0
المالكي يقل اي رجل واضح انه قلب رجل وسخ,1
حكومات صهيوعربيه وسخه,1
شعوب عربيه مقهوره,0
حريه,0
ورح يتقدم اخبار كرمال العقوبات الاميركيه بخصوص تدقيق جناءي مالي علي حسابات العصابه ومنهم الناءب التغييري وضاح الصادق حساباتو ببيبلوس رح يبين شي وساعتها رح نتقابل سيد وضاح منتقابل انا وانت منظومه المصارف والسياسه وسخ منافق فاسد وقح,0
السيسي وسخ حيل,1
دياب ذنبه اشهر السنين ال الباقيين ذنب مين وسخ اكبر ذنوب دياب انه تاركك برا الحبس وتارك ال عم تنشر اخبار,1
صورني يعطواني اهانه موظف كبير بالسن امام الملا والتشهير بالاهانه وساءل الاعلام جريمه يعاقب عليها القانون,0
مو كتلك مكتبك الاعلامي المعين ميليشا يوكعك تصدق كلام اخوك وها انت تسير الي خطي الكبير معلمكم الكاظمي,0
ملاحظه توجيه العقوبه السياقات القانونيه,0
بهذه الطريقه المذله يدفع الحلبوسي ناءبه الاول ممثل المكون الاكبر للشيعه محسن المندلاوي للجلوس مقعده بالجلسه صوت علي قانون سانت ليغو,0
الله يذكرك بالخير سيد حاكم الزاملي,0
اهانه,1
ستبقي دحلان هاربا العداله مهانا ذليلا ايما تحل,1
احيانا محاوله اثبات انك الافضل,0
مجله تايم الامريكيه,0
بعنوان محاربه الارهاب,1
يجب تقديم الاسد للعداله,0
والترحيب بمءتمر القمه اهانه للانسانيه والاخلاق وحقوق الانسان,0
القمه العربيه ال,0
اهانه الاخوه السنه بتهديم جامع السراجي اليوم تمت اهانه الاخوه المسيحيين طلب استقدام بطريرك للكلدان الكاثوليك لويس ساكو امام المحكمه كمتهم اضطره الي مغادره بغداد انظار الحكومه والشعب تخيل يتم استقدام السيستاني كمتهم امام القضاء,1
تبقي صفقه العمر لدورينا واي مقارنه بهاذي الصفقه تحديدا بتكون تقزيم صفقاتهم يعقل اقارن اي صفقه بحامل البلندور,0
صفقه البنز بحد ذاتها عظمتها ستبقي اهانه,0
اغلب العرب نحترمهم ونبادلهم المشاعر,0
فءه قليله معينه العرب احترامهم تعتبر اهانه,1
لحظه ترقب عاءله عربيه محترمه لاشقاءها الفضاء,0
المقارنه بالغير اهانه للنفس,0
الغي حياتك مبدا المقارنات,0
يجب ان تءمن بان نراه احدهم يملكه فالحياه تاخذ تاخذ منك,0
تاكد ان اشخاص ينظرون اليك امكن لاصبحوا انت,0
تعليق قوي جدا علي اهانه اضطهاد فتاه مسلمه منقبه,1
ابي احد يهيني بيومي,0
عمه يومي اهانه كلبه خضوع,1
