body,label
#من ذا الذي بايهمـــــــش دورك الفاعل,not bullying
#من بعد ماافنيت عمرك في رضاء الجمهــور,not bullying
"الف رحمة ألله ونور عليك يارمز الوفاء""",not bullying
#المباحث_بتوزع_فولورز_وتكيفات,not bullying
طبيعي اني ابئي #سافل,bullying
"عشان انا اتولد #ملط ...""",bullying
جبران حليف الحزب وقت النصر,not bullying
وخائن الحزب عند العصر,not bullying
"#سافل""",bullying
لم يسلم أشرف الخلق من نيل الناقصين ومرضى النفوس منه (ولقد نعلم أنك يضيق صدرك بما يقولون) فكيف بمن هم دونه؟!!,not bullying
"وإذا أتتك مذمتي من ناقص!! #سافل""",bullying
مدير منظمة الصحة العالمية يؤكد أن المنظمة دقت ناقوس الخطر مبكرا بشأن وباء كورونا... و الدليل انه انتشر في كل العالم يا حيوان,bullying
أردوغان الي الاتحاد الأوروبي : إما دفع مساعدات أو فتح الأبواب أمام اللاجئين السوريين نحو أوروبا ... ان لم تستحي فافعل ما شئت,not bullying
"#سافل من الزينين""",bullying
نهائيات كأس ولي العهد :-,not bullying
كلها الحكم اجنبي و البطل الهلال .. و يطلع,not bullying
لگ #سافل يقول #الهلال ما يفوز الا بالحكم,bullying
"المحلي ؟!!""",not bullying
روحة بلا رجعة,not bullying
"هذا ""البطل"" الي رمى الميكروفون متاع الجزيرة !!",not bullying
قيل للأديب الراحل #محمد_الماغوط :,not bullying
هل حقاً قلت عن دريد لحام أنه (إنسان) #سافل ؟,bullying
فقال,not bullying
#احقر من كذا شخصية مافية.,bullying
وجميع من انتقتهم #قطر على نفس الشكل والشاكله.,not bullying
وين القانون عنه؟,not bullying
مهما ڪان الجهة الينتمي الها لازم يتعاقب,not bullying
"بڪلامة وأفعالة #الوقحة #سافل""",bullying
لا أنا قلت #سافل فقط .,bullying
نفسي #امسكهم والعب بيهم بقا يا بت,not bullying
هما ايه #دول يا #سافل,bullying
"#الفلوس يا بنت #الجزمه""",bullying
هاتي بوسة يابت,bullying
علي فكرة إنت #سافل و#قليل_الأدب,bullying
ليه؟؟,not bullying
"عشان بتقولي #يابت""",not bullying
يا رجل كل هالحقن الطائفي كرمال وزير بالزايد؟؟,not bullying
"#سافل""",bullying
أنا من سكان بيروت ولم أسمع طلقة واحدة ... أنت كذّاب وحقير ويجب الإدعاء عليك بتهمة #الكذب و#التحريض,bullying
"#منافق و #كذاب و #سافل""",bullying
جنوبي وتتحدث عن الانفصال وتتغنى بـ الإمارات من حقك ..,not bullying
لكن شمالي وتدعم الانفصال وتتغنى بمن يعملون على تمزيق بلدك فـ انت بكل أمانة مثل نبيل الصوفي ..,not bullying
"#سافل في نظر اليمنيين ورخيص في نظر من يساندهم .""",bullying
إذا مدعو الثقافة والوعي في محور #الممانعة على شاكلة هذا السفيه @faysalabdlsater فكيف بالعوام,bullying
من جديد يا #بهيم غسّل تمك النجس بالماء سبع مرات إحداهن بالتراب كي يتطهر عند ذكرك للرئيس سعد الحريري,bullying
هل تعلم أن #المجرم دائما يعود إلى مسرح جريمته,not bullying
"#سافل""",bullying
"تفقه #السفلة فساد للدين""""",bullying
وكم من متفقه #سافل أفسد على الناس #دينهم بدعوى تجديد الخطاب الديني والبعد عن التعصب الأعمى #خالد_الجندي #مظهر_شاهين #علي_جمعة #عمرو_خالد نماذج صارخة لسفلة أباحوا #قتل الأبرياء وانتهاك #أعراضهن #لطاغوت استعبدهم لشهواته!,bullying
"#جامع_بيان_العلم_وفضله""",not bullying
هاد الصباح وانا في الكلية نقز لودني حوار #سافل بسفالة ونذالة أصحابه تلاتة دالناس واحد سول الآخر قالو نتا ماخدامش فالعشية؟ قالو لا وماكرهتش هاد #الإضراب يستامر حتى لشهر واحد مزيانة يبقى حتى لشهر واحدبلا شك عرفتوهم شكون,not bullying
العروبة علمتنا أن نكون أحرار,not bullying
ملعون الوالدين من وين له كل هالفلوس ومن الي يعطيه ويوقف معه في حملته الانتخابية القذرة ..,bullying
وليش مستذبح للوصول للمجلس !!,not bullying
#سافل,bullying
أطالب بفتح باب التسطير والطراقات لكل كويتي في لوندون,not bullying
اذا شاف موضي علف الخالدي ..,not bullying
كل العالم عملاء لايران حتى الامريكان الذين يبيعون السلاح للبحرين لتقمع وتقتل شعبها وتغطي جرائمهم #سافل,bullying
"ولا تزال #أمريكا تعتبر غزوها #للعراق عملاً #بطولياً ، بينما تعتبر غزو #روسيا لأوكرانيا #عدواناً سافراً",not bullying
الكيل بمكيالين,not bullying
"مجتمع دولي #سافل""",bullying
الووووو يا #منبطحين !انتم تشوفون وتقرون؟؟ والا عميان عمى بصر وبصيرة؟؟,bullying
ما يهمني اي #شعب ولا يهمني اذا مؤدلج او لا سواء مغيب عن #الواقع او عن #الحقيقة رح اعدس على اي #سافل مهما كان! #خليجي او #عربي او #مستعرب او #غربي,bullying
#مثلث_السعوديين,not bullying
"#السعودية_العظمى #فلسطين_ليست_قضيتي""",not bullying
علوشي,not bullying
١- بس تكون طائفي مقرف تابع لحزب ديني تابع لدولة دينية ما تحكي عن الطائفبة,bullying
٢- وقت تكون معقد من المسيحي ما تعيش بيناتهن وتدحش حالك,not bullying
٣- وقت تكون جبان وبسين ومخبى لأن مرعوب يقرطوك شوطة من مطرح ما انت ما تحكي بالمرة,bullying
#جبان,bullying
#سافل,bullying
"#تافه""",bullying
شعب مثير للشفقة,not bullying
إعلام #سافل لا صلة له بالموضوعية,bullying
مهاجمة حزب القوات دون دليل أو إثبات أو منطق,not bullying
أكل خرا بأكل #خرا,bullying
بيقول عن جبران كاذب و بيقول عن قاتل اهله دكتور فهو,bullying
"#سافل #فاسد #و #مفسد""",bullying
إما للطفلة لين كيف كانت عم تاكل وتشرب وتنام؟؟ عمرا ست سنين ما بتفوتا عالحمام؟؟ ما بتحمما ما بتغيرلا تيابا؟؟ في شي غامض او بدو يتلفلف بالقضية البنت تعرضت لاعتداءات متكررة بجسدا الضعيف واذا المجرم ما نال عقابو رح يكرر فعلتو مع غيرا,bullying
ماحصلت مقطع يصلح ارد عليك فيه اكثر من هذا,not bullying
"#سياسة""",not bullying
"#اهانة_نجاح_اليومية""",bullying
#سافل تفرح بقتل شعبك بيهم خير ذيج ايران,bullying
D معلش حضرتك انت ما شوفتش بتوع.,not bullying
#صفيق علشان بيقولها #بنسوار_يا_مدام,bullying
#صفه_من_صفات_تميم,not bullying
"#صفيق مع تفتين بصوت مروه عبد المنعم في فيلم عمر وسلمي""",bullying
لاتعليق,not bullying
انت بتتكلم على اساس انك ايه يعني ؟,bullying
"#صفيق""",bullying
انت بتتكلم كدا على اساس انك ايه يعني؟,bullying
ٱجـعلي نـفسک قويـة حتى لا يـستطيع ٱحد الـوصول إليک لارجـل #صفيق,bullying
مريضينيو :,not bullying
"-،قام بتجبين أغلى تشكيلة",not bullying
آخر عجائب الدنيا .. ! .,not bullying
يمكن صار #صفيق,bullying
"تشوف ؟ #ختفوه يال #صفيق""",bullying
وعلى فكرة بقى,not bullying
يتقطع #لسان أي #صفيق يقول للشعب المصري,bullying
#بلاش_هري يا بن اللذينة ده انت #بتهري من يوم ما شفناك,bullying
ومفيش كلمة قولتها التزمت بيها,not bullying
من أول مش حترشح,not bullying
لحد خطوطك الحمراء يا #أبو خطوط,not bullying
"مفيش جهاز مركزي يحاسب #السيسي على تكاليف الليلة دي والناس في مصر بقت بتبات من غير عشاء""",not bullying
أعدليلى الدواء والنبى يا دكتورة .. ده على أساس ان هى اللى رئيس الجمهورية #CBC #صفيق,bullying
"شفيق لـ""الرئيس"": ""مش هتكمل فترة حكمك والدستور ده هيتلغى.. وبعدين انت عارف يعنى إيه حلايب وشلاتين؟"" #صفيق",bullying
الرعديد عزمي إنطوان بشارون ينظر للإخوان ويقودهم على التواصل الإجتماعي وهو أصلا لايؤمن لا بالإسلام ولا بمحمد العربي ولا دولة فلسطين #صفيق.,bullying
احلى حاجه لما تلاقي واحده زهقانه منك وبتحاول تخلي صورتك وحشه بتفرح !؟ اه بفرح يعني مخليها مضايقه و هطق منى دا وهتفرقع #مش_محترم,not bullying
#لو_عندك_ذرة_كرامة ماتوقف هالوقفة عند الاشارة وتحجز حرية الناس بالالتفاف لليمين.. #جاهل #صفيق,bullying
المذيع : هل اجهزة الضفة تعتقل المجاهدين في الضفة وكأن المصالحة لم تكن !,not bullying
"#نقابة_الصحفيين مقلوبه بسبب بلطجية #صفيق"" تضامنوا ضد الفلول العسكري",bullying
#انقذوا_مكه_من_البرماويه,not bullying
بعض المغردين يتجرؤن على الملك عبدالعزيز ومن بعده رحمه الله,not bullying
بأن قرراتهم كانت خطأ وأنه حضرة المغرد لا يعلم لمن يحمل المسؤلية !,not bullying
يا أخي لا كنت,not bullying
ولا دريت ولا تليت,not bullying
قيادتنا إذا اصدرت قرار فهي تعلم ابعاده وعندها معالجته بالطريقة الاحترافية المناسبة!,not bullying
"يا لك من #صفيق""",bullying
منوش انا حاقد عليكي جدا,bullying
#NAME?,not bullying
بحكيلك بجد انا حاقد عليكي كتير,bullying
طيب انا مالي اسالك ليش مسلا! مش عبالي اعرفاستمر في ايذاء نفسك,not bullying
"إذهب يا #صفيق ، لن يمضي هذا اليوم إلا وأن أقطعن رأسك , وأخلع جزعك , وأزبطك ! أيه المنفشخ أخلاقياً ودستورياً | أخذتك #الجحيم !",bullying
"طبيعة الوضع في ليبيا الآن ، رفض كل #نظيف",not bullying
"و إستقبال مشرف لكل #صفيق""",bullying
""" هو فعلا إسم الفريق #صفيق مناسب جدا، عاشت إبداعات #البرادعي""",bullying
"شفيق , ش : شر البليه , ف : فاسد ,ي:يخرب و يدمر, ق: قاتل موقعة الجمل.",bullying
"حتي إسمه منيل بستين نيله #صفيق""",bullying
مملكتنا الغالية ولربما #مجرد_ناعق,bullying
و #صفيق من أحد البلدان المجاورة,bullying
تجمع الناخبين عند وصول المرشح الرئاسي أحمد شفيق #صفيق #فلول,bullying
عغوا عزيزتى قولى #صفيق ولا تقولى #شفيق,bullying
"ويا شفيق يا #فاسد الشعب هيفضل صامد""",bullying
"قمة #الهبل و#الاستعباط، وتصل الى حد #قلة الادب .، انك توجة كلام لبني جلدتك بلغة أخري غير لغتك ولغتهم !...",bullying
اه والله ياحمد خرجنا من وقارنا وبقينا نتلفظ بألفاظ كان مجرد انها تدور بفكرنا تخجلنا..,not bullying
هوة شكله المغير صاحب فكرة حملة #تجرد اللي بتهاجم #تمرد .. وكان من فترة ادى مثال حي لتبنيه للفكرة وإيمانه العميق بمبدأها!! #صفيق #مصر #مرسي,bullying
لما صاحبه الحاجه تسمعنى وانا بقول لبنتها ياختى فكيها تبصلى باستغراب وتقولى انتى جايه منين بكلامك دا,bullying
واحد يمي قال زعتر ورد غليه ظريف زعتر بن شداد!!!!!!! لالا خلووه علي !!#صفيق,bullying
يالله صباح خير يرحمنا في هذا اليوم و يخسف بكل مليقاً #سخيف قاعد يعطي فاضي في تويتر #صفيق,bullying
ليه حأسس أن مبارك بيتكلم. !! المصيبة المرة دئ أنه حيكون #طرطور العسكرى مش طرطور سوزى ولا جيمى #صفيق #شفيق,bullying
هوه شفشق كاسر عينهم بحاجه ولاايه مالهم لازقين فيه كده ليه #صفيق,bullying
المشكلة ان الراجل اللى اسمه ماجد ده بيتكلم بنفس مياعة #صفيق,bullying
حرام عليكم نفسى غمت على,not bullying
ما هو لو كان #صفيق شاف مبارك #مقتول مكنش فكر لثانيه أنه يرشح نفسه للرئاسة #خلتك_سلمية_#فشختنا,bullying
"والواد التانى بيحاول بس مش عارف""",not bullying
اما حد بيعملي فولو بحس اني قليل زوق لو معملتش الباك وبعمل الباك من هذا المنطلق بالرغم انه هو نفسه الفولور اللي عملي انفولو وانا نايم #صفيق,bullying
واخلي بترول الكويت لمن؟,not bullying
للشيوخ الحراميه يخسون”,bullying
انا حسيت انها شتيمة,not bullying
لا ده #تهزيئ ههههههههههههههههههههههه ههههههههههههههههههههههه ههههههههههههههههههههههه,bullying
"هرمنا من #ظرافه امك""",bullying
يا ولاد افهموا انو حتى اللي بتقلدهم انت وياه وياها ... عندهم اساسات وعادات بطلعوش عنها !,not bullying
احياناً #الصمت_حكمة والصديق الحقيقي يقف معك يفرح لفرحك ولاكن ما ذا تفعل عندما يكون صديقك........ اه ابس حسبتك #صديق طلعت #صفيق,bullying
"وضع #صفيق جداً""",bullying
الي يقول الله يرحم صدام ما قريتو الدراسه الي تقول ٥٠٪ من شعبكم مريض نفسيا ف سولف لي باجر #صفيق يعني لو يحطون بقر مكانك ينتجون اكثر منك,bullying
سيماهم في أسمائهم,not bullying
يا غاوي دع الحرب لأهلها فلست منها وليست منك,bullying
ودعك من غزة وما يجري فيها من #ذبح لأطفالها ليسوا منك ولست منهم,not bullying
"#غاوي_و_تافه""",bullying
هو إيه موضوع الرمال المصرية ده؟ مين اللي بيكتبله الكلام ده؟ محمود سالم بتاع المغامرين الخمسة؟ #شفيق #صفيق #فريق,bullying
جرعة غضب زائده النهارده بسبب مؤتمر الفريق #صفيق النهارده..انا مش فاهم البقر دول هيفضلوا يشحنوا بطاريات الغضب لحد امتى,bullying
"مع انها زلة لسان بس كلمة البرادعى ""الفريق صفيق""مالهاش حل.. لخصت يادكتور والنعمه :))",bullying
"#صفيق #فشيق #شفيق""",bullying
إيه كمية المؤتمرات الصحفية اللى بيعمله #صفيق دى !!!؟ وياريته بيقول حاجه تتفهم نستفيد منها إلا كل كلامه لازم تستتج منه ده لو عرفت #شفيق_جلاش,bullying
شفيق بعد ما وعد كل مصري بتحقيق احلامه على حدى بيوعد بانه يجوز احمد وهبة #صفيق #شفيق,bullying
اللى صاغ عنوان الخبر #صفيق,bullying
فرنسا قايمه وقاعده وحامد بو يابس يتكلم عن الحساوي واللغيصم صج اصحاب العقول براحه,not bullying
المرشح الآخر إسمه مرسي العياط أيوه #العياط #صفيق في ابهى صوره .... مؤدب فشخ,bullying
#متفذلك,not bullying
"#كملو""",not bullying
واحد من الادمنز اللي علي صفحة الفيس بوك ابو اسماعيل جاب له جنان رسمي سامحوني حريه التعبير مكفوله بس لسانه طويل #صفيق,bullying
"بوابل من الكلمات الفاقعة وحروف الجر التي نعرفها جميعا، يخرج من الإشارة الحمراء ويلتفت إلي وكأني المخطأ ! #ليبيا يا #صفيق",bullying
ممكن اعرف انتي سنيه ولا شيعيه” شوفوا العقليات”,bullying
"هو يقول: ""اني ما اشوف ..."" يعني لو #كفيف #ابله لايشعر ب #الواقع و #علاقه #الدولار ب #اسعار_البضائع لو #كذاب .. اكيد هو كذاب و #مطي لانه لايجيد #الكذب و #صفيق #قبيح",bullying
"غدا سوف يخرج علينا #الفاشل حسن ويقول لنا ان سبب تواجد مليشياته الارهابية الطائفية فى اليمن هو للدفاع عن مرقد او مقام السيد الحوثي ، #صفيق",bullying
"يعني مش فاهم، انت #غبي ولا #كذاب؟؟؟ ما قرأت خطاب حماس اللي قالوا انه معركتهم مش مع اليهود ولا المسيحيين، إنما مع الصهيونية، اللي بدها تحتل الأرض و تهجر السكان و تعمل دولة من قومية واحدة على أرض فلسطين التاريخية؟ #صفيق و #أهبل",bullying
"فعلا كلامك مزبوط، لو كانوا صادقين كان المفروض يكونوا بغزة. بالزبط زي مجلس الحرب بعمل اجتماعاته من غلاف غزة. و انت كمان مكتبك في شمال غزة صح؟ #صفيق و #أهبل",bullying
لا تستخدم إطلاقا تلك الكلمة,not bullying
"فى قاموس الشتائم الدارج، لكنها تعنى",not bullying
وتعنى #الوقح و#الغليظ الذى يتكلم دائما,bullying
بلا أى حياء فى حديثه أو تصرفاته,not bullying
"أو أفعاله.""",not bullying
تعتبر هى الأكثر شيوعا فى #السب و#القذف وتعنى #الدنىء و#عديمُ والأخلاق و#لا كرامةَ عنده.,bullying
#رذيل,bullying
لا تستخدم تلك الكلمة لكنها تعنى #الخسيس والذى يستحق #الاحتقار دوما.,bullying
تعنى #الوقح و#الغليظ الذى يتكلم دائما بلا أى حياء فى حديثه أو تصرفاته أو أفعاله. .,bullying
تقصد انك مغرم بجلادك تميم وأبوه حمد الذي ارسل طائرات #لتدمير بلدك,not bullying
"٢٠٠٣ صدقت فإنك عميل #خسيس لكنك تتحدث عن نفسك بأسهاب وهذا جيد #صفيق""",bullying
تعليقا على خطاب #بايدن عن غلق الحدود #المكسيكية مع #تكساس وهي لا تعلم بأن المايك يعمل,not bullying
"سيبدأ حر. ب #لعينة أخرى... #احمق""",bullying
مع فنجان قهوة,not bullying
#برايكم هل الطريق سالك امام هدنة طويلة بمراحل ثلاث,not bullying
"ام ان العدw سيقوم بعمل #احمق كالعادة""",bullying
ايها الاحمق,bullying
السعودية هي من فتحت مصنع للخمور,not bullying
ايها الاحمق ركز,bullying
ركز,not bullying
ام ان حقدك وبغضك جعلاك اعمى البصر و البصيرة,bullying
فعلا احمق,bullying
واضح انك مو سعودي ولا تدري وين ربي حاطك محد راح للشام يروحون الرجال فقط ومن كل ديرة مجموعه ويشتغل يكد بعرق جبينه ويرجع لنجد محمل بخيرات من كده وتعبه .. لكن ما رحنا عشان نقول عطونا بدون مقابل وليش عندكم وما عندنا,not bullying
"#أحمق""",bullying
"كم هو #ممتع أني تعطي أي شخص سواء كان صديقاً ،، #عدواً ،،إنسانا أو شيطان ،، #عاقلا و #أحمق",bullying
"نشوة الانتصار،،",not bullying
نعم أقدمها على طبق من #ذهب,not bullying
ليعيش نشوة #الانتصار_المزيف,not bullying
"تمر الأيام وربما شهو وسنين،،",not bullying
لأرجع وحدي وأنقض كالتفاتت سيدنا #خالد_بن_الوليد,not bullying
لم يستسلم رغم #الهزيمة,not bullying
یعنی,not bullying
اشريف اصبح يهذي الزهايمر يسيطر عليه لعنة الله عليك يا احمق.... هو هيدا كان طموحك لكن فشرت انت عندك حقد للمقاومة لانها افشلت مشروعك الفتنوي ان كان في طرابلس وبيروت لا بل بكل لبنان احمق ورح تموت ورح تبقى المقاومة رايتها ترفرف براقة,bullying
#ايران يا #احمق لعبت باسمها فقط وباسم #شعبها بكل #طوائفه لم ترفع شعارا #مذهبيا ولم تنادي #يا_علي #يا_حسين وغيرها من شعارات #المطايا المذهبية لان هذه الشعارات تركتها للأذناب وللبغال ...أتمنى تكون وصلت الرسالة #العراق,bullying
هيدا #المعتوه #فاشل وجاي يتفلسف علينا روح عيش مثل مابدك صدقني والله ما حدا جابرك ولا حدا شايفك,bullying
#حلل_يا_دويري,not bullying
وماذا تنتظر من الخنزير #هشام_البيلي (زميل #رسلان و #حسن_عبد_الستير وكل #عرص -ديوث بالفصحى- )وهو يعلن في نهاية الفيديو أنه لا يستطيع حماية زوجته فيحميها له #السيسي و ضباطه ..,bullying
"هل تريده أن يتخيل أن هناك رجال يعملون على صيانة أعراض نساء المسلمين ويفضلون الموت على لحظة ذل أو مهانة""",not bullying
يا سيسي يا بلاااااش #عرص ثاني ماينفعناش,bullying
"الست مُصممه وتصميمها ينفذ""",not bullying
العب بعيد عن الدين يا #عرص,bullying
-هيقولوا عليك #عرص هيقولوا عليك #خاين هيقولوا عليك #صهيوني برضو اوعا تفتح #معبر_رفح غير لما #نتنياهو بيه يقوم من جمب مراتك ويستحمي وينزل من شقتك.. مفهوم يا #سيسي أفندي؟,bullying
#ERROR!,not bullying
"أتينا لكم بصيد سمين ،،، تيس #السعادنة #الكعام يفضح شخشوخ #عرص #مصر #محمود_الجندي ويتغابى عن هياط #السعادنة في #ملك_الاستخراء ..... قطري يفضح الهياط.",bullying
اكبر إنجاز بحياتي هو انوا وصلت لمرحلة صار جوزي يقول انوا التويت ناقصوا كلمة #عرصات او #عرص.,bullying
"تعبنا يا استاذ مرسيل بس وصلنا .""",not bullying
إقتراح ترحيل الفلسطينيين إلى النقب ليس اقتراح مصري ولا هو اقتراح للمناورة السياسية ولا هو حل مؤقت. هذه فكرة ترامب المسماة بصفقة القرن التي وافق عليها بن زايد وتبع البحرين والسيسي. كل شئ اتضح إسرائيل تطالب بالترحيل الى سيناء ثم يطالب هو بترحيلهم إلى النقب ويظهر كالبطل .,not bullying
انت لسه يا #عرص ليك صوت بعد القفى,bullying
بعد ٣-٤ سنين من الذل اليومي هلق بلش القلق,not bullying
أنتم أدنى منزلة من أن نناظركم,bullying
#اليهود,not bullying
"#عرص""",bullying
شد حيلك.. بلغت مديونية #مصر في عهدك 165مليار.. بقي قليل ووصلت 200مليار..,not bullying
"شد الحيل يا #عرص #تسريبات_السيسي""",bullying
هذا الرجل تجسيد حرفي لكلمة #عرص,bullying
ويقولون الفلوس #وسخ دنيا,bullying
"ولله ما الوصخ الا انت وربعك""",bullying
هيدا البائع انا من بكرا رايحة اشتري من عندو ... يا #وسخ,bullying
#وسخ,bullying
#أزعر #وسخ #مجوي #حقير #زبالة #إبن_شارع #قليل_التربية #مرتّ ... #عوني ...,bullying
يا صرصور يا نملة اديش انت رخيص,bullying
"رسالة للبيك وجماعتو من ""كبار القوم"" بالطائفة الكريمة… لأنو شبعنا #وسخ #وفساد وقلة أدب. ممكن نصير نتعامل مع غير زعران؟ فيديو كامل",bullying
هوي ليقا مين ياخدو بس انت في مين ياخدك يا #وسخ يا #حشاش,bullying
#بالحريقه_انت_وكضيتك,bullying
"#السعودية أعادت بناء بلدك وبلدان أخرى أكثر من مرة يا #وسخ""",bullying
ناطق باسم الصهاينة,not bullying
فشرت وطويلة عرقبتك يا مقرف,bullying
لبنان #حر,not bullying
#وعدوه #الكيان #الغاصب #الصهيوني,not bullying
ول مش عاجبو يروح لعندن في ناس سبئوك وقفوا عالسياج وما دخلوهم الا ببكاء ونواح بس تعلم من التجارب,not bullying
"يا #وسخ""",bullying
كنا بدنا نهرب بنزين ما خلونا,not bullying
اضطرينا نهرب مازوت,not bullying
هل يجوز أن نقول عن المال #وسخ الدنيا ؟,bullying
رسالة #منى_الكرد لكم,not bullying
"صوتنا وصل لكن التعويل على #الاستمرارية لأنه احنا منتعامل مع كيان #وسخ""""",bullying
"#الحريه_لمنى_الكرد""",not bullying
هيدا الحمار من ايا زريبة فلتان ؟,bullying
#حقود,bullying
فاش شفت مارسيلو جناح برازيلي يبكي بعد صافرات الاستهجان من جماهير مدريدية عرفت ان هذا النادي هو اوسخ هو وجمهوره بصفة عامة لاعب كان شاهد على الالقاب اللتي سرقتها بمساعدة الحكام وتحاد الاوروربي مارسيلو ليس اول والاخير الذي تعرض لهذه امور بل حتى رونالدو الذي كان ينقدهم فكل مرة,bullying
فكرت الناس بإن #تيران_وصنافير_مصرية,not bullying
وعملت أكبر دعاية ل #خالد_على والتف حوله حتى خصومه,not bullying
وبينت للكل قد إيه أنت #وسخ,bullying
شكراً لغبائك,bullying
"فعلا رئيس #بلح""",bullying
نفذت الذخيرة..,not bullying
"وعينك م تشوف الا 5 عساكر مرعوبين ،و 20 متدسين و3 عربات مفحطة .... قصاد واحد أعزل جاري عليهم",not bullying
كدا ياداب ممكن نفهم ليه بقتلو الثوار!,not bullying
بتحس قابضين عا راس الشعب تا يفوتوا ال #كورونا عا #لبنان,not bullying
"#لبنان_ينتفض #وسخ""",bullying
حتي لو عارف انك #وسخ انضف مع ال بيعاملك,bullying
"بنضافه ... يمكن #تنضف""",not bullying
#الجميّل_سليمان_السنيورة_ميقاتي_سلام #رؤساء_السفارات يتطاولون على لبنان الرسمي!,not bullying
وجّهوا رسالة سرّية للقمة العربية لاحراج لبنان,not bullying
"#تفوووو #وسخ""",bullying
ويقولون يبغونه يصير من افضل عشره دوريات في العالم,not bullying
اقسم بالله الواحد فيهم مايستاهل يقود عشره من الضان,not bullying
"فكر #وسخ لاذمه ولاضمير""",bullying
"كل شي غباء ومفبرك، طيّب شو عاد صار ب #قضية_حساب تاهيل #السجون بما انو اصحابك من الصغر #راغب وخضر #علامة و #ماهر_ابو_الخدود و #الخطيب او سآل شوفير راغب من الممكن يخبرك. مش كل ما حكينا انك #فاسد بتعمل انو ٨ اذار متآمرين عليك. انت #متآمر عالبلد لمصلحة #جيبتك يا #وسخ!@WaddahSadek",bullying
"عطريق الشام عم يكب لوز من السيارة رجع ك ب قنينة بيرة،كنت ناطر يكب لولاد. #وسخ",bullying
في ناس بتكون حابب تسألهم انت #وسخ كده بجد بالفطره يعني,bullying
و لا دي #وساخه من اجل الموهبة و انت نميتها,bullying
"يعني ممكن تحكلنا ازاي الموضوع اتطور معاك""",not bullying
السوشيال ميديا عندنا اصبحت تتنفس علي الا اتطلقت والا اتحرقت والا سرق والا قتل وغسيل #وسخ اسود منشور علي #الفضائيات وبتزعلوا لمًا واحد #عربي يقول عليكموفيكم البدع اقسم بالله ما شفت بلد زي #مصر فرحانه بنشر قذارتها اتلموا مش علشان لايك وشير تبهدل البلد معك #انشروا_الابجابيات,bullying
مرتضى اللى عمل هيصه وقال هنسحب من الدورى بسبب جون ف ماتش الاهلى اللى مالوش دخل بيه .. علشان يدارى ع وفاه طفل ف حمام السباحه ف نفس اليوم #وسخ,bullying
الغريب السوبرماركات عم تفضي الرفوف تا تبيع عالغالي,not bullying
الأغرب الحكومة المستقلة,not bullying
بعدها بتحكي بإنجازات...,not bullying
و راوول بيقلك سكرنا بالشمع الأحمر,not bullying
بس ما اعرفنا اذا سبب التسكير #خلافات_سياسية,not bullying
انتو بلا ضمير وما بتخافوا الله,not bullying
بس بتبيعوا وبتاجروا باسم الاديان..,not bullying
#الكرنتينا_لن_تتسع,not bullying
"انتهى ما يسمّى (قداس) عن راحة نفس الشهداء، وهلّق بكون بلّش يأرئ ويضحك مع جنبلاط على نفس الشهداء #وسخ",bullying
ال$ طاير متل ما نبيه طار بالهليكوبتر,not bullying
"ليحمي رياض وما يصير بي ١٥ الف #وسخ""",bullying
تطلع الفجر ... الصبح,not bullying
بغض النظر عن اى كلام تقوله ... سواء كان محترم او مهزأ,not bullying
"انت #وسخ فى نظرى .""",bullying
"لا تحتاج الحياة اكثر من ذلك""",not bullying
معلومة عالماشى ..,not bullying
